CUSIP,bidprice1,quantity,bidprice2,quantity,bidprice3,quantity,bidprice4,quantity,bidprice5,quantity,offerprice1,quantity,offerprice2,quantity,offerprice3,quantity,offerprice4,quantity,offerprice5,quantity,
9128283H1,100-18+,1000000,100-183,2000000,100-182,3000000,100-181,4000000,100-180,5000000,100-186,1000000,100-187,2000000,100-190,3000000,100-191,4000000,100-192,5000000,
9128283L2,100-232,1000000,100-231,2000000,100-230,3000000,100-227,4000000,100-226,5000000,100-23+,1000000,100-235,2000000,100-236,3000000,100-237,4000000,100-240,5000000,
912828M80,100-177,1000000,100-176,2000000,100-175,3000000,100-17+,4000000,100-173,5000000,100-181,1000000,100-182,2000000,100-183,3000000,100-18+,4000000,100-185,5000000,
9128283J7,99-255,1000000,99-25+,2000000,99-253,3000000,99-252,4000000,99-251,5000000,99-257,1000000,99-260,2000000,99-261,3000000,99-262,4000000,99-263,5000000,
9128283F5,99-30+,1000000,99-303,2000000,99-302,3000000,99-301,4000000,99-300,5000000,99-306,1000000,99-307,2000000,99-310,3000000,99-311,4000000,99-312,5000000,
912810RZ3,99-140,1000000,99-137,2000000,99-136,3000000,99-135,4000000,99-13+,5000000,99-142,1000000,99-143,2000000,99-14+,3000000,99-145,4000000,99-146,5000000,
9128283H1,99-160,1000000,99-157,2000000,99-156,3000000,99-155,4000000,99-15+,5000000,99-162,1000000,99-163,2000000,99-16+,3000000,99-165,4000000,99-166,5000000,
9128283L2,100-023,1000000,100-022,2000000,100-021,3000000,100-020,4000000,100-017,5000000,100-025,1000000,100-026,2000000,100-027,3000000,100-030,4000000,100-031,5000000,
912828M80,100-083,1000000,100-082,2000000,100-081,3000000,100-080,4000000,100-077,5000000,100-085,1000000,100-086,2000000,100-087,3000000,100-090,4000000,100-091,5000000,
9128283J7,99-020,1000000,99-017,2000000,99-016,3000000,99-015,4000000,99-01+,5000000,99-022,1000000,99-023,2000000,99-02+,3000000,99-025,4000000,99-026,5000000,
9128283F5,100-307,1000000,100-306,2000000,100-305,3000000,100-30+,4000000,100-303,5000000,100-311,1000000,100-312,2000000,100-313,3000000,100-31+,4000000,100-315,5000000,
912810RZ3,100-01+,1000000,100-013,2000000,100-012,3000000,100-011,4000000,100-010,5000000,100-016,1000000,100-017,2000000,100-020,3000000,100-021,4000000,100-022,5000000,
9128283H1,99-157,1000000,99-156,2000000,99-155,3000000,99-15+,4000000,99-153,5000000,99-161,1000000,99-162,2000000,99-163,3000000,99-16+,4000000,99-165,5000000,
9128283L2,99-160,1000000,99-157,2000000,99-156,3000000,99-155,4000000,99-15+,5000000,99-162,1000000,99-163,2000000,99-16+,3000000,99-165,4000000,99-166,5000000,
912828M80,100-130,1000000,100-127,2000000,100-126,3000000,100-125,4000000,100-12+,5000000,100-132,1000000,100-133,2000000,100-13+,3000000,100-135,4000000,100-136,5000000,
9128283J7,99-130,1000000,99-127,2000000,99-126,3000000,99-125,4000000,99-12+,5000000,99-132,1000000,99-133,2000000,99-13+,3000000,99-135,4000000,99-136,5000000,
9128283F5,100-141,1000000,100-140,2000000,100-137,3000000,100-136,4000000,100-135,5000000,100-143,1000000,100-14+,2000000,100-145,3000000,100-146,4000000,100-147,5000000,
912810RZ3,100-077,1000000,100-076,2000000,100-075,3000000,100-07+,4000000,100-073,5000000,100-081,1000000,100-082,2000000,100-083,3000000,100-08+,4000000,100-085,5000000,
9128283H1,99-143,1000000,99-142,2000000,99-141,3000000,99-140,4000000,99-137,5000000,99-145,1000000,99-146,2000000,99-147,3000000,99-150,4000000,99-151,5000000,
9128283L2,99-206,1000000,99-205,2000000,99-20+,3000000,99-203,4000000,99-202,5000000,99-210,1000000,99-211,2000000,99-212,3000000,99-213,4000000,99-21+,5000000,
912828M80,100-076,1000000,100-075,2000000,100-07+,3000000,100-073,4000000,100-072,5000000,100-080,1000000,100-081,2000000,100-082,3000000,100-083,4000000,100-08+,5000000,
9128283J7,99-195,1000000,99-19+,2000000,99-193,3000000,99-192,4000000,99-191,5000000,99-197,1000000,99-200,2000000,99-201,3000000,99-202,4000000,99-203,5000000,
9128283F5,99-002,1000000,99-001,2000000,99-000,3000000,99-00-1,4000000,99-00-2,5000000,99-00+,1000000,99-005,2000000,99-006,3000000,99-007,4000000,99-010,5000000,
912810RZ3,99-260,1000000,99-257,2000000,99-256,3000000,99-255,4000000,99-25+,5000000,99-262,1000000,99-263,2000000,99-26+,3000000,99-265,4000000,99-266,5000000,
9128283H1,100-246,1000000,100-245,2000000,100-24+,3000000,100-243,4000000,100-242,5000000,100-250,1000000,100-251,2000000,100-252,3000000,100-253,4000000,100-25+,5000000,
9128283L2,99-041,1000000,99-040,2000000,99-037,3000000,99-036,4000000,99-035,5000000,99-043,1000000,99-04+,2000000,99-045,3000000,99-046,4000000,99-047,5000000,
912828M80,100-071,1000000,100-070,2000000,100-067,3000000,100-066,4000000,100-065,5000000,100-073,1000000,100-07+,2000000,100-075,3000000,100-076,4000000,100-077,5000000,
9128283J7,100-065,1000000,100-06+,2000000,100-063,3000000,100-062,4000000,100-061,5000000,100-067,1000000,100-070,2000000,100-071,3000000,100-072,4000000,100-073,5000000,
9128283F5,99-097,1000000,99-096,2000000,99-095,3000000,99-09+,4000000,99-093,5000000,99-101,1000000,99-102,2000000,99-103,3000000,99-10+,4000000,99-105,5000000,
912810RZ3,99-215,1000000,99-21+,2000000,99-213,3000000,99-212,4000000,99-211,5000000,99-217,1000000,99-220,2000000,99-221,3000000,99-222,4000000,99-223,5000000,
9128283H1,99-11+,1000000,99-113,2000000,99-112,3000000,99-111,4000000,99-110,5000000,99-116,1000000,99-117,2000000,99-120,3000000,99-121,4000000,99-122,5000000,
9128283L2,99-277,1000000,99-276,2000000,99-275,3000000,99-27+,4000000,99-273,5000000,99-281,1000000,99-282,2000000,99-283,3000000,99-28+,4000000,99-285,5000000,
912828M80,100-00+,1000000,100-003,2000000,100-002,3000000,100-001,4000000,100-000,5000000,100-006,1000000,100-007,2000000,100-010,3000000,100-011,4000000,100-012,5000000,
9128283J7,99-187,1000000,99-186,2000000,99-185,3000000,99-18+,4000000,99-183,5000000,99-191,1000000,99-192,2000000,99-193,3000000,99-19+,4000000,99-195,5000000,
9128283F5,99-041,1000000,99-040,2000000,99-037,3000000,99-036,4000000,99-035,5000000,99-043,1000000,99-04+,2000000,99-045,3000000,99-046,4000000,99-047,5000000,
912810RZ3,100-137,1000000,100-136,2000000,100-135,3000000,100-13+,4000000,100-133,5000000,100-141,1000000,100-142,2000000,100-143,3000000,100-14+,4000000,100-145,5000000,
9128283H1,100-060,1000000,100-057,2000000,100-056,3000000,100-055,4000000,100-05+,5000000,100-062,1000000,100-063,2000000,100-06+,3000000,100-065,4000000,100-066,5000000,
9128283L2,99-101,1000000,99-100,2000000,99-097,3000000,99-096,4000000,99-095,5000000,99-103,1000000,99-10+,2000000,99-105,3000000,99-106,4000000,99-107,5000000,
912828M80,100-097,1000000,100-096,2000000,100-095,3000000,100-09+,4000000,100-093,5000000,100-101,1000000,100-102,2000000,100-103,3000000,100-10+,4000000,100-105,5000000,
9128283J7,100-281,1000000,100-280,2000000,100-277,3000000,100-276,4000000,100-275,5000000,100-283,1000000,100-28+,2000000,100-285,3000000,100-286,4000000,100-287,5000000,
9128283F5,100-092,1000000,100-091,2000000,100-090,3000000,100-087,4000000,100-086,5000000,100-09+,1000000,100-095,2000000,100-096,3000000,100-097,4000000,100-100,5000000,
912810RZ3,100-257,1000000,100-256,2000000,100-255,3000000,100-25+,4000000,100-253,5000000,100-261,1000000,100-262,2000000,100-263,3000000,100-26+,4000000,100-265,5000000,
9128283H1,99-277,1000000,99-276,2000000,99-275,3000000,99-27+,4000000,99-273,5000000,99-281,1000000,99-282,2000000,99-283,3000000,99-28+,4000000,99-285,5000000,
9128283L2,99-126,1000000,99-125,2000000,99-12+,3000000,99-123,4000000,99-122,5000000,99-130,1000000,99-131,2000000,99-132,3000000,99-133,4000000,99-13+,5000000,
912828M80,100-006,1000000,100-005,2000000,100-00+,3000000,100-003,4000000,100-002,5000000,100-010,1000000,100-011,2000000,100-012,3000000,100-013,4000000,100-01+,5000000,
9128283J7,99-165,1000000,99-16+,2000000,99-163,3000000,99-162,4000000,99-161,5000000,99-167,1000000,99-170,2000000,99-171,3000000,99-172,4000000,99-173,5000000,
9128283F5,99-027,1000000,99-026,2000000,99-025,3000000,99-02+,4000000,99-023,5000000,99-031,1000000,99-032,2000000,99-033,3000000,99-03+,4000000,99-035,5000000,
912810RZ3,100-017,1000000,100-016,2000000,100-015,3000000,100-01+,4000000,100-013,5000000,100-021,1000000,100-022,2000000,100-023,3000000,100-02+,4000000,100-025,5000000,
