CUSIP,mid,bidofferspread
9128283H1,100-007,0-002
9128283L2,100-145,0-00+
912828M80,99-061,0-00+
9128283J7,100-220,0-003
9128283F5,99-112,0-00+
912810RZ3,100-26+,0-003
9128283H1,99-047,0-00+
9128283L2,99-301,0-00+
912828M80,99-202,0-003
9128283J7,99-297,0-00+
9128283F5,99-073,0-00+
912810RZ3,99-31+,0-00+
9128283H1,99-291,0-003
9128283L2,99-180,0-00+
912828M80,99-223,0-002
9128283J7,100-057,0-003
9128283F5,100-14+,0-003
912810RZ3,100-286,0-003
9128283H1,99-297,0-00+
9128283L2,99-182,0-002
912828M80,99-207,0-00+
9128283J7,99-016,0-002
9128283F5,100-253,0-003
912810RZ3,100-03+,0-002
9128283H1,100-080,0-002
9128283L2,100-236,0-00+
912828M80,100-206,0-00+
9128283J7,99-00+,0-00+
9128283F5,100-247,0-002
912810RZ3,99-140,0-002
9128283H1,100-086,0-003
9128283L2,100-101,0-003
912828M80,100-115,0-00+
9128283J7,99-135,0-003
9128283F5,99-111,0-00+
912810RZ3,99-283,0-00+
9128283H1,100-122,0-003
9128283L2,99-157,0-00+
912828M80,99-265,0-003
9128283J7,99-147,0-00+
9128283F5,100-00+,0-003
912810RZ3,99-196,0-003
9128283H1,100-302,0-003
9128283L2,100-037,0-002
912828M80,100-137,0-00+
9128283J7,100-295,0-003
9128283F5,99-072,0-00+
912810RZ3,100-250,0-003
9128283H1,100-190,0-003
9128283L2,99-022,0-00+
912828M80,99-200,0-003
9128283J7,100-072,0-003
9128283F5,100-061,0-00+
912810RZ3,100-171,0-002
9128283H1,100-126,0-003
9128283L2,100-043,0-003
912828M80,99-261,0-00+
9128283J7,100-221,0-00+
9128283F5,100-245,0-003
912810RZ3,99-185,0-00+
9128283H1,100-120,0-002
9128283L2,100-175,0-002
912828M80,100-001,0-002
9128283J7,100-143,0-002
9128283F5,99-297,0-003
912810RZ3,99-03+,0-003
9128283H1,99-223,0-003
9128283L2,100-180,0-00+
912828M80,99-146,0-002
9128283J7,100-262,0-003
9128283F5,99-135,0-002
912810RZ3,99-231,0-002
9128283H1,100-05+,0-00+
9128283L2,100-165,0-00+
912828M80,99-151,0-002
9128283J7,100-305,0-00+
9128283F5,99-293,0-002
912810RZ3,99-051,0-00+
9128283H1,99-013,0-003
9128283L2,99-15+,0-00+
912828M80,100-261,0-002
9128283J7,99-07+,0-003
9128283F5,99-132,0-003
912810RZ3,100-045,0-00+
9128283H1,100-130,0-00+
9128283L2,99-113,0-00+
912828M80,100-193,0-003
9128283J7,100-297,0-002
9128283F5,99-177,0-00+
912810RZ3,99-263,0-00+
9128283H1,99-086,0-003
9128283L2,99-081,0-002
912828M80,100-047,0-00+
9128283J7,99-251,0-00+
9128283F5,99-146,0-00+
912810RZ3,99-111,0-003
9128283H1,99-206,0-003
9128283L2,99-133,0-002
912828M80,99-125,0-00+
9128283J7,99-161,0-00+
9128283F5,99-020,0-003
912810RZ3,99-12+,0-003
9128283H1,100-196,0-002
9128283L2,100-005,0-002
912828M80,100-061,0-002
9128283J7,99-253,0-002
9128283F5,99-052,0-00+
912810RZ3,100-177,0-003
9128283H1,100-01+,0-00+
9128283L2,99-30+,0-00+
912828M80,99-09+,0-003
9128283J7,100-26+,0-003
9128283F5,100-147,0-00+
912810RZ3,99-276,0-003
9128283H1,99-015,0-003
9128283L2,100-17+,0-00+
912828M80,99-085,0-00+
9128283J7,100-16+,0-003
9128283F5,100-261,0-003
912810RZ3,100-115,0-002
9128283H1,100-042,0-003
9128283L2,99-255,0-002
912828M80,99-007,0-003
9128283J7,100-150,0-00+
9128283F5,100-103,0-00+
912810RZ3,99-13+,0-002
9128283H1,99-08+,0-003
9128283L2,100-033,0-003
912828M80,99-113,0-003
9128283J7,99-080,0-002
9128283F5,100-201,0-002
912810RZ3,100-135,0-003
9128283H1,100-207,0-002
9128283L2,100-215,0-003
912828M80,99-121,0-00+
9128283J7,100-235,0-00+
9128283F5,99-073,0-003
912810RZ3,99-191,0-003
9128283H1,99-15+,0-002
9128283L2,99-26+,0-002
912828M80,99-192,0-003
9128283J7,100-067,0-003
9128283F5,100-307,0-002
912810RZ3,100-156,0-003
9128283H1,99-303,0-002
9128283L2,100-120,0-00+
