CUSIP,Trade_ID,Book,Price,Quantity,Side
9128283H1,T1,TRSY2,99-051,8000000,BUY
9128283H1,T2,TRSY1,99-23+,4000000,SELL
9128283H1,T3,TRSY3,100-036,9000000,SELL
9128283H1,T4,TRSY3,99-24+,8000000,BUY
9128283H1,T5,TRSY1,100-216,4000000,SELL
9128283H1,T6,TRSY1,99-090,6000000,SELL
9128283H1,T7,TRSY3,100-04+,7000000,SELL
9128283H1,T8,TRSY1,99-280,3000000,BUY
9128283H1,T9,TRSY2,100-187,7000000,SELL
9128283H1,T10,TRSY1,99-021,8000000,BUY
9128283L2,T11,TRSY1,100-290,3000000,BUY
9128283L2,T12,TRSY2,99-287,4000000,SELL
9128283L2,T13,TRSY3,99-046,6000000,SELL
9128283L2,T14,TRSY2,100-107,4000000,BUY
9128283L2,T15,TRSY2,99-002,8000000,BUY
9128283L2,T16,TRSY1,99-00+,6000000,BUY
9128283L2,T17,TRSY3,100-040,5000000,SELL
9128283L2,T18,TRSY1,100-033,6000000,SELL
9128283L2,T19,TRSY3,100-30+,8000000,BUY
9128283L2,T20,TRSY3,99-161,4000000,BUY
912828M80,T21,TRSY2,99-167,1000000,BUY
912828M80,T22,TRSY3,100-040,8000000,SELL
912828M80,T23,TRSY1,99-100,7000000,SELL
912828M80,T24,TRSY2,99-002,3000000,BUY
912828M80,T25,TRSY3,99-267,7000000,SELL
912828M80,T26,TRSY1,99-270,5000000,BUY
912828M80,T27,TRSY3,99-16+,1000000,SELL
912828M80,T28,TRSY3,100-15+,9000000,SELL
912828M80,T29,TRSY1,99-310,7000000,SELL
912828M80,T30,TRSY1,99-125,4000000,BUY
9128283J7,T31,TRSY1,100-16+,9000000,SELL
9128283J7,T32,TRSY2,100-050,4000000,BUY
9128283J7,T33,TRSY2,100-230,9000000,SELL
9128283J7,T34,TRSY2,99-01+,8000000,SELL
9128283J7,T35,TRSY1,100-087,8000000,BUY
9128283J7,T36,TRSY1,99-083,7000000,BUY
9128283J7,T37,TRSY3,99-08+,8000000,BUY
9128283J7,T38,TRSY2,99-136,6000000,SELL
9128283J7,T39,TRSY3,100-075,7000000,SELL
9128283J7,T40,TRSY3,100-163,7000000,BUY
9128283F5,T41,TRSY3,100-281,4000000,BUY
9128283F5,T42,TRSY1,99-002,2000000,BUY
9128283F5,T43,TRSY3,99-013,5000000,SELL
9128283F5,T44,TRSY1,99-17+,7000000,SELL
9128283F5,T45,TRSY2,99-197,4000000,BUY
9128283F5,T46,TRSY2,99-091,9000000,SELL
9128283F5,T47,TRSY3,99-317,7000000,SELL
9128283F5,T48,TRSY2,99-21+,3000000,BUY
9128283F5,T49,TRSY1,99-030,6000000,BUY
9128283F5,T50,TRSY2,100-253,8000000,BUY
912810RZ3,T51,TRSY1,100-252,9000000,SELL
912810RZ3,T52,TRSY3,99-100,5000000,BUY
912810RZ3,T53,TRSY2,99-282,6000000,BUY
912810RZ3,T54,TRSY3,99-251,5000000,BUY
912810RZ3,T55,TRSY1,99-145,7000000,BUY
912810RZ3,T56,TRSY3,100-000,2000000,BUY
912810RZ3,T57,TRSY1,100-012,4000000,SELL
912810RZ3,T58,TRSY3,99-07+,3000000,SELL
912810RZ3,T59,TRSY2,99-117,2000000,SELL
912810RZ3,T60,TRSY2,100-261,8000000,SELL
